1;arms_factory;4080.00;10.70;1576.00;0.41;0
1;arms_factory;4057.00;9.90;1589.00;3.07;0
1;arms_factory;4071.00;10.32;1604.00;6.09;0
1;arms_factory;4076.00;10.15;1610.00;2.47;0
1;arms_factory;4128.00;10.30;1612.00;5.13;0
1;arms_factory;4121.00;10.30;1616.00;1.52;0
1;industrial_complex;4107.00;10.00;1626.00;4.54;0
1;industrial_complex;4113.00;10.15;1624.00;5.74;0
1;industrial_complex;4076.00;10.65;1587.00;3.58;0
1;industrial_complex;4082.00;10.53;1600.00;5.14;0
1;industrial_complex;4068.00;10.32;1600.00;1.52;0
1;industrial_complex;4114.00;10.68;1609.00;4.19;0
1;air_base;4132.00;10.23;1612.00;2.03;0
1;supply_node;4082.00;10.80;1588.00;5.97;0
1;supply_node;4123.00;10.43;1606.00;2.63;0
1;supply_node;4099.00;10.25;1613.00;4.10;0
1;bunker;4102.00;10.88;1595.00;0.47;0
1;bunker;4115.00;10.03;1627.00;2.04;0
1;bunker;4102.00;10.80;1603.00;4.70;0
1;anti_air_building;4088.00;10.45;1606.00;2.54;0
1;anti_air_building;4088.00;10.25;1610.00;3.74;0
1;anti_air_building;4069.00;10.40;1581.00;0.48;0
1;synthetic_refinery;4096.00;11.15;1580.00;3.14;0
1;fuel_silo;4107.00;10.90;1593.00;5.81;0
1;radar_station;4099.00;10.95;1598.00;4.34;0
1;rocket_site;4118.00;10.85;1595.00;5.21;0
1;nuclear_reactor;4100.00;10.82;1600.00;1.59;0
2;arms_factory;1346.00;10.80;1539.00;6.09;0
2;arms_factory;1257.00;10.03;1507.00;2.47;0
2;arms_factory;1242.00;9.93;1516.00;5.13;0
2;arms_factory;1325.00;10.15;1576.00;1.52;0
2;arms_factory;1247.00;10.00;1524.00;4.54;0
2;arms_factory;1303.00;10.38;1529.00;5.74;0
2;industrial_complex;1254.00;10.10;1512.00;3.58;0
2;industrial_complex;1351.00;10.88;1545.00;5.14;0
2;industrial_complex;1296.00;9.90;1483.00;1.52;0
2;industrial_complex;1254.00;9.90;1531.00;4.19;0
2;industrial_complex;1296.00;10.00;1489.00;2.03;0
2;industrial_complex;1261.00;10.00;1515.00;5.05;0
